time,SpotPriceDK1,Offshore Wind,Onshore Wind,Solar,temp_mean_past1h,precip_past1h
2019-10-31,318.42000187499997,394.45834399999995,386.375,0.0,5.0375,0.0
2019-11-01,245.28166524999997,828.8194440000001,749.7222252083334,30.461041750000003,2.4375,0.03333333333333333
2019-11-02,228.41875079166667,724.7777760833333,646.6111157500001,4.789548666666667,7.3500000000000005,0.3416666666666666
2019-11-03,260.89374929166667,516.0885436666666,461.37499733333334,19.548403041666667,9.083333333333334,0.05833333333333333
2019-11-04,282.8175004583333,1028.175346375,1759.1874949166668,3.58322925,8.758333333333333,0.4652173913043478
2019-11-05,323.46708175,758.7951380416666,955.5381990833333,15.751805583333335,4.995833333333334,0.22916666666666666
2019-11-06,397.0929146666667,120.59722354166666,150.48958433333334,30.177257208333334,3.4625,0.0
2019-11-07,334.21375141666664,343.42013633333335,333.23437574999997,30.907152375,4.020833333333333,0.016666666666666666
2019-11-08,355.1366679166667,499.52430683333336,573.0520884166666,19.339965208333332,6.1625000000000005,0.25
2019-11-09,311.7249971666667,228.2013883333333,207.62326299999998,14.435868208333334,2.6416666666666666,0.0
2019-11-10,310.35458370833334,269.46007145833335,217.58159866666665,20.566527791666665,4.608333333333333,0.03333333333333333
2019-11-11,305.28958120833335,903.2170091666667,1035.6493136249999,21.16027775,4.495833333333334,0.029166666666666664
2019-11-12,304.4204139583333,1093.2083358749999,1833.2552007083332,12.332569333333334,4.5874999999999995,0.016666666666666666
2019-11-13,352.9037500416666,859.9565989166667,966.0555623333333,23.46715275,3.025,0.12083333333333333
2019-11-14,338.6691665833333,437.54993035333337,450.121042135,18.373124875,3.579166666666667,0.0
2019-11-15,281.421667,765.82332398,1116.9883382399998,0.0,6.158333333333334,0.0375
2019-11-16,286.3587519166667,504.9392344166667,798.9218686666667,2.82,7.620833333333334,0.3625
2019-11-17,276.30249920833336,445.24479425,391.73611,17.795486416666666,5.141666666666667,0.06666666666666667
2019-11-18,308.7204145416667,746.3958371666666,782.0295092083334,2.8456597083333333,6.675,0.3333333333333333
2019-11-19,356.38291737500003,669.7083314583333,614.5329869999999,3.7696874583333333,6.075,0.09583333333333334
2019-11-20,394.67374929166664,168.74826299999998,224.80208095833333,22.174270833333335,5.166666666666667,0.11666666666666665
2019-11-21,366.777912125,353.359375625,500.35590299999996,10.952534791666666,4.979166666666667,0.15416666666666667
2019-11-22,318.176253625,597.2916667083333,704.6267356666667,12.49982625,7.108333333333333,0.13333333333333333
2019-11-23,233.79458266666666,927.0156224583334,1484.5329844166665,16.030868333333334,7.220833333333334,0.0
2019-11-24,241.622918375,956.4183985416666,1596.5242970833333,12.707360999999999,6.095833333333334,0.0
2019-11-25,382.14458462500005,434.4201380833333,544.1024296666667,5.773090166666667,5.1875,0.004166666666666667
2019-11-26,352.9970817916667,397.510414,288.9062466666667,3.9620834166666667,5.075,0.20833333333333334
2019-11-27,310.470833375,660.5868047083333,630.7499962083333,2.6910763749999997,7.1375,0.25833333333333336
2019-11-28,291.5729161666667,480.32465362500005,563.3524334583334,2.9857292083333333,6.929166666666667,0.19583333333333333
2019-11-29,291.2941665416667,912.2083282499999,1260.2517344166665,22.891319041666666,2.15,0.0
2019-11-30,314.512917875,378.357638,444.9965299583334,20.777881833333332,2.0875,0.016666666666666666
2019-12-01,314.88041554166665,471.67534695833336,563.819445375,12.740034791666666,1.9916666666666665,0.020833333333333332
2019-12-02,346.283334125,694.2673615416667,729.3124992916668,19.199166375,2.4916666666666667,0.012500000000000002
2019-12-03,367.86999891666665,629.6440992500001,1067.2812525833333,3.52684025,4.9375,0.075
2019-12-04,345.83083337499994,722.972221375,1136.8958307916666,17.0306945,6.629166666666666,0.0
2019-12-05,289.7466690833333,1012.2256851249999,2081.12153625,8.562881875,6.841666666666666,0.08333333333333333
2019-12-06,237.98583345833333,1034.0607655833335,2097.44963075,3.5519791250000003,8.170833333333333,0.45
2019-12-07,199.68166770833332,958.564231875,1659.2517649166666,16.453124916666667,6.858333333333333,0.08333333333333333
2019-12-08,-21.095416291666666,992.5815989166667,2293.715265916667,5.404826583333333,7.3125,0.5
2019-12-09,186.14124716666666,973.9774297083333,2138.8072967499998,11.647881958333334,4.995833333333334,0.5416666666666666
2019-12-10,298.5945835,667.1145795416667,1326.2656390416666,15.719652875,3.029166666666667,0.020833333333333332
2019-12-11,287.985417625,786.069449125,1280.9739608749999,11.500451125,5.016666666666667,0.22916666666666666
2019-12-12,330.64291579166667,586.1788241666667,708.6979192083332,7.4049305,3.3041666666666667,0.10416666666666667
2019-12-13,258.012085,1020.9791717500001,1854.109382625,13.254270833333335,2.345833333333333,0.012499999999999999
2019-12-14,211.98708404166666,872.576393125,1242.0711797083334,3.488715291666667,2.975,0.5916666666666667
2019-12-15,169.50458483333333,1041.329856875,1984.0937195,5.241111166666667,4.516666666666667,0.43333333333333335
2019-12-16,299.774581875,881.2326456666666,1131.576388,5.574548624999999,5.2749999999999995,0.029166666666666664
2019-12-17,282.18500075000003,490.0555552916667,614.3524328333334,3.278367916666667,6.4875,0.29583333333333334
2019-12-18,292.45083170833334,726.6406250416667,940.4305483333333,14.110312333333333,5.1,0.09166666666666667
2019-12-19,259.4291699583333,1033.4340260833333,1433.859367375,12.230451208333333,5.183333333333334,0.0
2019-12-20,247.82792095833335,1080.2517420416666,1603.1111145000002,10.470486,5.391666666666667,0.21666666666666667
2019-12-21,241.02499966666667,763.7083307916668,826.0815938333334,10.541249791666667,6.2124999999999995,0.06666666666666667
